PID,wslong,wslat,wsplace
11383, 116.514348, 39.828748, School 2429
9899, 116.356831, 39.475458, School 2402
1388, 116.303181, 40.044044, School 2446
18991, 116.469794, 39.847552, School 2209
2536, 116.369454, 40.220416, School 2424
8926, 116.390666, 39.96031, School 2350
51, 117.222159, 40.271143, School 2223
19451, 116.1775, 40.173289, School 2242
14125, 116.052978, 39.688162, School 2391
21117, 116.83563, 39.845209, School 2285
18767, 116.619453, 39.878124, School 2400
18755, 116.574388, 39.907166, School 2243
11410, 116.5894658, 39.86715877, School 2479
12699, 116.13769, 39.988623, School 2432
7729, 116.260842, 40.03164, School 2363
1579, 116.413689, 39.611148, School 2412
20135, 116.460187, 39.768382, School 2264
2917, 116.396238, 39.929158, School 1980
12627, 116.128753, 40.29722, School 2092
2217, 116.406624, 39.989405, School 2409
14657, 116.270695, 39.864459, School 2171
10479, 116.61122, 39.820589, School 2201
14197, 116.446928, 39.954114, School 2375
18959, 116.535394, 40.610496, School 2451
21021, 116.147128, 40.202708, School 2232
9032, 116.505564, 40.200047, School 2215
20001, 116.522007, 39.954794, School 2425
11675, 116.559196, 40.097931, School 2189
13013, 116.394888, 39.711732, School 2146
11324, 116.405677, 40.050626, School 2407
3809, 116.556265, 39.930574, School 2293
16283, 116.666401, 39.83305, School 2392
2929, 116.450989, 39.872134, School 2381
15147, 116.610664, 39.910163, School 2444
4094, 116.319913, 40.1265, School 2379
800, 116.129847, 40.116835, School 2260
12133, 116.776749, 39.609963, School 2421
8086, 116.203171, 40.153827, School 2374
14967, 116.591774, 39.901823, School 2169
9386, 116.166343, 39.805391, School 2247
5099, 116.414593, 39.988214, School 2037
12523, 116.216835, 39.889167, School 2295
18187, 116.121831, 39.675851, School 2266
5173, 117.1967164, 40.19544789, School 2484
17288, 116.740965, 39.772814, School 2170
12939, 116.203171, 40.153827, School 2374
989, 116.181531, 39.948471, School 2300
12643, 116.378843, 40.044872, School 2233
18951, 116.383985, 40.051771, School 2173
12249, 116.293386, 40.039047, School 2216
9599, 116.327215, 39.894264, School 2150
803, 116.424712, 40.029046, School 2153
12345, 116.225972, 40.078165, School 2060
3954, 116.6456495, 39.90303982, School 2480
8011, 116.675235, 39.889969, School 2405
16386, 117.222159, 40.271143, School 2223
10578, 116.613713, 40.049541, School 2438
11189, 116.425939, 39.828509, School 2383
4908, 116.214528, 39.93195, School 2127
11605, 116.313767, 40.043864, School 2410
18719, 116.405677, 40.050626, School 2407
15527, 116.319913, 40.1265, School 2379
14136, 116.149021, 40.093347, School 2378
5177, 116.258201, 39.873238, School 2155
12659, 116.61979, 40.379795, School 2126
1528, 116.273822, 39.765098, School 2449
