PID,Yearly_electricity,Certainty,District
5520, 2649.5568000000007, 0.2, 9
15594, 3137.9018181818187, 0.4, 4
6219, 2713.4426000000008, 0, 1
17297, 2103.6700000000005, 0, 3
244, 2701.3447, 0, 6
13919, 3325.4172727272735, 0, 9
5320, 2649.5568000000007, 0, 11
18436, 3876.6997954545454, 0.2, 1
19506, 3764.5958181818182, 0.4, 12
18302, 3764.5958181818182, 0.4, 11
5210, 2649.5568000000007, 0.2, 9
11283, 3241.109636363637, 0.4, 6
3324, 2576.9022500000005, 0, 1
10472, 2791.5418000000004, 0, 3
8610, 2563.614325000001, 0.2, 4
3022, 2795.71995, 0.4, 3
258, 2918.0840909090916, 0.2, 3
3566, 2649.5568000000007, 0, 11
13410, 2662.922900000001, 0, 12
7083, 2713.4426000000008, 0.2, 3
5565, 2649.5568000000007, 0, 6
16213, 2761.8317200000006, 0.6, 11
16535, 2103.6700000000005, 0.6, 15
4887, 3159.843045454546, 0.6, 11
1122, 2649.5568000000007, 0, 12
14331, 3885.6698181818188, 0, 11
6622, 2729.0629000000004, 0, 11
13300, 2662.922900000001, 0, 3
7631, 2694.6919000000003, 0, 9
11001, 2805.525475000001, 0.2, 8
3123, 2701.3447, 0, 2
19858, 2694.6919000000003, 0.4, 9
14371, 3745.198181818182, 0, 7
19720, 2103.6700000000005, 0.2, 4
10261, 2713.4426000000008, 0, 8
581, 3745.198181818182, 0.6, 14
1280, 2713.4426000000008, 0.2, 6
19710, 2103.6700000000005, 0.4, 4
1157, 3763.38, 0, 8
6265, 2713.4426000000008, 0, 12
12432, 2718.117100000001, 0, 7
16798, 2103.6700000000005, 0, 11
5662, 2649.5568000000007, 0.4, 3
5354, 2649.5568000000007, 0.4, 12
15999, 2761.8317200000006, 0.2, 10
17724, 2103.6700000000005, 0.2, 11
2442, 2652.1291000000006, 0, 1
14466, 2103.6700000000005, 0.4, 8
1760, 2242.4857750000006, 0.4, 8
5306, 2654.690400000001, 0.4, 6
5429, 2649.5568000000007, 0.4, 12
15746, 2103.6700000000005, 0, 3
7124, 2729.0629000000004, 0.6, 3
19043, 3460.694672727273, 0.4, 6
6918, 2729.0629000000004, 0.4, 12
20485, 2103.6700000000005, 0.4, 5
17955, 2103.6700000000005, 0, 5
7222, 2729.0629000000004, 0.4, 4
8567, 2694.6919000000003, 0.4, 15
10016, 3612.9312727272727, 0, 9
14367, 3745.198181818182, 0.4, 3
13414, 2644.4277000000006, 0.4, 4
486, 2239.6651750000005, 0, 3
18957, 3750.9878181818185, 0.2, 4
15233, 2274.968875000001, 0.2, 6
6845, 2713.4426000000008, 0.6, 9
12872, 2718.117100000001, 0.6, 4
21212, 2655.9928750000004, 0, 5
3761, 3239.339090909091, 0, 2
7073, 2713.4426000000008, 0, 12
17862, 2636.0365000000006, 0, 4
9921, 3323.074, 0.4, 12
4822, 3621.288363636364, 0, 9
5318, 2649.5568000000007, 0.4, 16
5730, 2654.690400000001, 0, 1
